jsfx_slider,vst3_id,jsfx_name,ui_name,default,minimum,maximum,step,choices,page,source_occurrences
57,slider057,High Tom Click Level,High Tom Click Level,0.81999999999999995,0,1,0.01,,Toms,7
58,slider058,High Tom Tune,High Tom Tune,0,-2,2,0.01,,Toms,7
59,slider059,High Tom Pitch Decay,High Tom Pitch Decay,0.016,0,1,0.001,,Toms,7
60,slider060,High Tom Pitch Amount,High Tom Pitch Amount,0.14999999999999999,0,1,0.01,,Toms,8
61,slider061,High Tom Decay,High Tom Decay,0.10000000000000001,0.001,1,0.001,,Toms,7
62,slider062,High Tom Noise Level,High Tom Noise Level,0.10000000000000001,0,3,0.01,,Toms,7
63,slider063,High Tom Noise LPF,High Tom Noise LPF,0.10000000000000001,0.01,1,0.01,,Toms,7
64,slider064,Low Tom Level,Low Tom Level,7,0,20,0.01,,Toms,20
65,slider065,Mid Tom Level,Mid Tom Level,7,0,20,0.01,,Toms,7
66,slider066,High Tom Level,High Tom Level,7,0,20,0.01,,Toms,7
67,slider067,Kick Click Phase,Kick Click Phase,0,-1,1,0.001,,Kick,8
68,slider068,Rim Click Level,Rim Click Level,0,-1,3,0.01,,Rim,6
69,slider069,Rim Tone,Rim Tone,0.5,-1,1,0.01,,Rim,6
70,slider070,Rim Decay,Rim Decay,0.5,0.001,1,0.0001,,Rim,6
71,slider071,Rim Level,Rim Level,0,-24,30,0.01,,Rim,10
72,slider072,Zap Level,Zap Level,1.6000000000000001,0,2,0.01,,Zap,30
73,slider073,Zap Fast Decay,Zap Fast Decay,0.029999999999999999,0.02,1,0.01,,Zap,10
74,slider074,Zap Slow Decay,Zap Slow Decay,0.050000000000000003,0.05,2,0.01,,Zap,9
75,slider075,Zap Curve,Zap Curve,3.6000000000000001,0,10,0.01,,Zap,24
76,slider076,Zap Tune,Zap Tune,0.29999999999999999,-3,3,0.01,,Zap,17
77,slider077,Zap Click Level,Zap Click Level,3.04,0,3,0.01,,Zap,9
78,slider078,Kick Curve Pitch,Kick Curve Pitch,0,-1,1,0.01,,Kick,8
79,slider079,Kick Curve Pitch Decay,Kick Curve Pitch Decay,1,0,1,0.01,,Kick,8
80,slider080,Clave/Cowbell Level,Clave/Cowbell Level,6,0,20,0.01,,Clave / Cowbell,23
81,slider081,Clave/Cowbell Decay,Clave/Cowbell Decay,0.20000000000000001,0,1,0.01,,Clave / Cowbell,8
82,slider082,Clave/Cowbell Base Pitch,Clave/Cowbell Base Pitch,2,0,4,0.01,,Clave / Cowbell,8
83,slider083,Clave/Cowbell Inharmonic Ratio,Clave/Cowbell Inharmonic Ratio,0.55000000000000004,0,1,0.01,,Clave / Cowbell,8
84,slider084,Clave/Cowbell Click Amount,Clave/Cowbell Click Amount,10,0,10,0.01,,Clave / Cowbell,8
85,slider085,Clave/Cowbell Click Sharpness,Clave/Cowbell Click Sharpness,4,0,5,0.01,,Clave / Cowbell,10
86,slider086,Clave/Cowbell Metal Body Balance,Clave/Cowbell Metal Body Balance,0,0,1,0.01,,Clave / Cowbell,11
87,slider087,Clave/Cowbell Ring Mod Amount,Clave/Cowbell Ring Mod Amount,0.29999999999999999,0,1,0.01,,Clave / Cowbell,10
88,slider088,Clave/Cowbell Accent Bite,Clave/Cowbell Accent Bite,5,0,10,0.01,,Clave / Cowbell,8
89,slider089,Clave/Cowbell Pitch Snap Amount,Clave/Cowbell Pitch Snap Amount,0.25,0,3,0.01,,Clave / Cowbell,9
90,slider090,HiHat Resonance Mod Amount,HiHat Resonance Mod Amount,0,0,1,0.01,,HiHat,10
91,slider091,HiHat Resonance Mod Speed (Hz),HiHat Resonance Mod Speed (Hz),80,10,10000,1,,HiHat,9
92,slider092,Snare Noise Attack,Snare Noise Attack,0,0,1,0.001,,Snare 1,12
93,slider093,Snare2 Noise Attack,Snare2 Noise Attack,0,0,1,0.001,,Snare 2,12
94,slider094,Snare Noise Color,Snare Noise Color,0,0,1,0.001,,Snare 1,10
95,slider095,Snare2 Noise Color,Snare2 Noise Color,0,0,1,0.001,,Snare 2,10
96,slider096,Snare Noise Degrade,Snare Noise Degrade,0,0,1,0.001,,Snare 1,12
97,slider097,Snare2 Noise Degrade,Snare2 Noise Degrade,0,0,1,0.001,,Snare 2,12
98,slider098,Snare Filter Env Amount,Snare Filter Env Amount,1,0,1,0.01,,Snare 1,12
99,slider099,Snare2 Filter Env Amount,Snare2 Filter Env Amount,1,0,1,0.01,,Snare 2,12
100,slider100,Kick Noise Decay,Kick Noise Decay,15,1,500,0.1,,Kick,8
101,slider101,Kick Noise Level,Kick Noise Level,0.10000000000000001,0,2,0.01,,Kick,8
102,slider102,Kick LFO Volume Depth,Kick LFO Volume Depth,0,-2,2,0.01,,Kick,10
103,slider103,Kick LFO Frequency,Kick LFO Frequency,4,0.125,1024,0.125,,Kick,8
104,slider104,Kick LFO Wave,Kick LFO Wave,0,0,5,1,"Sine,Triangle,Saw Up,Saw Down,PWM,SampleHold",Kick,16
105,slider105,Kick LFO Pitch Depth,Kick LFO Pitch Depth,0,-4,4,0.01,,Kick,9
106,slider106,Kick LFO Delay,Kick LFO Delay,200,100,5000,1,,Kick,9
107,slider107,Kick Body Drive,Kick Body Drive,40,0,1000,1,,Kick,8
